Gender,Nationality,Region,Year,Population
Male,Non Saudi,Al Madinah Al Munawwarah,2022,605368
Male,Non Saudi,Al Qaseem,2010,268943
Male,Non Saudi,Al Qaseem,2011,293324
Male,Non Saudi,Al Qaseem,2012,314519
Male,Non Saudi,Al Qaseem,2013,343441
Male,Non Saudi,Al Qaseem,2014,345482
Male,Non Saudi,Al Qaseem,2015,375940
Male,Non Saudi,Al Qaseem,2016,394872
Male,Non Saudi,Al Qaseem,2017,377965
Male,Non Saudi,Al Qaseem,2018,340886
Male,Non Saudi,Al Qaseem,2019,321411
Male,Non Saudi,Al Qaseem,2020,340300
Male,Non Saudi,Al Qaseem,2021,306081
Male,Non Saudi,Al Qaseem,2022,331195
Male,Non Saudi,Ar Riyadh,2010,2122121
Male,Non Saudi,Ar Riyadh,2011,2348331
Male,Non Saudi,Ar Riyadh,2012,2555208
Male,Non Saudi,Ar Riyadh,2013,2831733
Male,Non Saudi,Ar Riyadh,2014,2891361
Male,Non Saudi,Ar Riyadh,2015,3194046
Male,Non Saudi,Ar Riyadh,2016,3406281
Male,Non Saudi,Ar Riyadh,2017,3310906
Male,Non Saudi,Ar Riyadh,2018,3032784
Male,Non Saudi,Ar Riyadh,2019,2904720
Male,Non Saudi,Ar Riyadh,2020,3124464
Male,Non Saudi,Ar Riyadh,2021,2855565
Male,Non Saudi,Ar Riyadh,2022,3140295
Male,Non Saudi,Aseer,2010,300239
Male,Non Saudi,Aseer,2011,334823
Male,Non Saudi,Aseer,2012,367122
Male,Non Saudi,Aseer,2013,409937
Male,Non Saudi,Aseer,2014,421694
Male,Non Saudi,Aseer,2015,469283
Male,Non Saudi,Aseer,2016,504117
Male,Non Saudi,Aseer,2017,493527
Male,Non Saudi,Aseer,2018,455278
Male,Non Saudi,Aseer,2019,439113
Male,Non Saudi,Aseer,2020,475609
Male,Non Saudi,Aseer,2021,437661
Male,Non Saudi,Aseer,2022,484543
Male,Non Saudi,Eastern Region,2010,1125324
Male,Non Saudi,Eastern Region,2011,1251678
Male,Non Saudi,Eastern Region,2012,1368869
Male,Non Saudi,Eastern Region,2013,1524634
Male,Non Saudi,Eastern Region,2014,1564484
Male,Non Saudi,Eastern Region,2015,1736772
Male,Non Saudi,Eastern Region,2016,1861202
Male,Non Saudi,Eastern Region,2017,1817812
Male,Non Saudi,Eastern Region,2018,1673054
Male,Non Saudi,Eastern Region,2019,1609979
Male,Non Saudi,Eastern Region,2020,1739871
Male,Non Saudi,Eastern Region,2021,1597497
Male,Non Saudi,Eastern Region,2022,1764820
Male,Non Saudi,Hail,2010,101989
Male,Non Saudi,Hail,2011,114620
Male,Non Saudi,Hail,2012,126617
Male,Non Saudi,Hail,2013,142421
Male,Non Saudi,Hail,2014,147553
Male,Non Saudi,Hail,2015,165334
Male,Non Saudi,Hail,2016,178799
Male,Non Saudi,Hail,2017,176191
Male,Non Saudi,Hail,2018,163576
Male,Non Saudi,Hail,2019,158747
Male,Non Saudi,Hail,2020,172985
Male,Non Saudi,Hail,2021,160119
Male,Non Saudi,Hail,2022,178299
Male,Non Saudi,Jazan,2010,218070
Male,Non Saudi,Jazan,2011,239968
Male,Non Saudi,Jazan,2012,259647
Male,Non Saudi,Jazan,2013,286136
Male,Non Saudi,Jazan,2014,290529
Male,Non Saudi,Jazan,2015,319148
Male,Non Saudi,Jazan,2016,338452
Male,Non Saudi,Jazan,2017,327137
Male,Non Saudi,Jazan,2018,297971
Male,Non Saudi,Jazan,2019,283798
Male,Non Saudi,Jazan,2020,303558
Male,Non Saudi,Jazan,2021,275880
Male,Non Saudi,Jazan,2022,301686
Male,Non Saudi,Makkah Al Mukarramah,2010,2196122
Male,Non Saudi,Makkah Al Mukarramah,2011,2401646
Male,Non Saudi,Makkah Al Mukarramah,2012,2582311
Male,Non Saudi,Makkah Al Mukarramah,2013,2827707
Male,Non Saudi,Makkah Al Mukarramah,2014,2852658
Male,Non Saudi,Makkah Al Mukarramah,2015,3113295
Male,Non Saudi,Makkah Al Mukarramah,2016,3279865
Male,Non Saudi,Makkah Al Mukarramah,2017,3149081
Male,Non Saudi,Makkah Al Mukarramah,2018,2849054
Male,Non Saudi,Makkah Al Mukarramah,2019,2694938
Male,Non Saudi,Makkah Al Mukarramah,2020,2862658
Male,Non Saudi,Makkah Al Mukarramah,2021,2583425
Male,Non Saudi,Makkah Al Mukarramah,2022,2805048
Male,Non Saudi,Najran,2010,91283
Male,Non Saudi,Najran,2011,102120
Male,Non Saudi,Najran,2012,112311
Male,Non Saudi,Najran,2013,125778
Male,Non Saudi,Najran,2014,129767
Male,Non Saudi,Najran,2015,144817
Male,Non Saudi,Najran,2016,156000
Male,Non Saudi,Najran,2017,153138
Male,Non Saudi,Najran,2018,141644
Male,Non Saudi,Najran,2019,136969
Male,Non Saudi,Najran,2020,148729
Male,Non Saudi,Najran,2021,137194
Male,Non Saudi,Najran,2022,152265
Male,Non Saudi,Northern Borders,2010,48409
Male,Non Saudi,Northern Borders,2011,53994
Male,Non Saudi,Northern Borders,2012,59213
Male,Non Saudi,Northern Borders,2013,66125
Male,Non Saudi,Northern Borders,2014,68037
Male,Non Saudi,Northern Borders,2015,75733
Male,Non Saudi,Northern Borders,2016,81361
Male,Non Saudi,Northern Borders,2017,79659
Male,Non Saudi,Northern Borders,2018,73503
Male,Non Saudi,Northern Borders,2019,70898
Male,Non Saudi,Northern Borders,2020,76801
Male,Non Saudi,Northern Borders,2021,70681
Male,Non Saudi,Northern Borders,2022,78265
Male,Non Saudi,Tabuk,2010,119759
Male,Non Saudi,Tabuk,2011,134369
Male,Non Saudi,Tabuk,2012,148210
Male,Non Saudi,Tabuk,2013,166450
Male,Non Saudi,Tabuk,2014,172196
Male,Non Saudi,Tabuk,2015,192670
Male,Non Saudi,Tabuk,2016,208084
Male,Non Saudi,Tabuk,2017,204779
